states,x,y
Jammu and Kashmir,-131.0, 203.0
Ladakh,-92.0, 212.0
Himachal pradesh,-95.0, 166.0
Punjab,-121.0, 151.0
Uttarakhand,-55.0, 131.0
Haryana,-107.0, 115.0
Uttar Pradesh,-37.0, 74.0
Rajasthan,-153.0, 66.0
Bihar,47.0, 52.0
Jharkhand,44.0, 13.0
West Bengal,83.0, 4.0
Madhya Pradesh,-80.0, 8.0
Gujarat,-189.0, 8.0
Maharashtra,-128.0, -59.0
Chhattisgarh,-16.0, -26.0
Odisha,29.0, -44.0
Goa,-146.0, -131.0
Telangana,-62.0, -89.0
Andhra Pradesh,-60.0, -140.0
Karnataka,-114.0, -147.0
Kerala,-102.0, -219.0
Tamil Nadu,-75.0, -212.0
Sikkim,93.0, 86.0
Assam,170.0, 68.0
Meghalaya,143.0, 51.0
Tripura,148.0, 17.0
Mizoram,169.0, 8.0
Manipur,186.0, 38.0
Nagaland,195.0, 66.0
Arunachal Pradesh,194.0, 109.0
Andaman and Nicobar Island,174.0, -188.0
Chandigarh,-95.0, 142.0
Daman and Diu,-159.0, -47.0
Delhi,-90.0, 104.0
Lakshadweep,-164.0, -210.0
Puducherry,-49.0, -193.0
